symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hit_t1,hold_bars,pnl_pct,R,or_range_pct,vol_mult,body_ratio
BAJFINANCE,long,2026-05-20 10:30:00,920.16,908.55,940.35,922.19,EOD,False,56,0.12,0.1,1.15,2.21,0.99
BAJFINANCE,long,2026-05-22 09:55:00,916.86,908.25,925.05,916.09,EOD,True,63,-0.18,-0.2,0.61,1.74,0.77
BAJFINANCE,short,2026-05-27 09:45:00,922.89,935.9,904.4,930.06,EOD,False,65,-0.88,-0.62,1.13,1.93,0.88
HINDUNILVR,short,2026-03-05 10:10:00,2231.08,2277.8,2165.9,2253.63,EOD,False,60,-1.11,-0.53,1.66,1.5,0.81
HINDUNILVR,short,2026-03-06 10:30:00,2228.19,2247.0,2211.9,2226.31,EOD,True,56,-0.02,-0.02,0.52,1.88,0.91
HINDUNILVR,short,2026-03-10 11:55:00,2191.2,2219.0,2151.8,2192.7,EOD,False,39,-0.17,-0.13,1.02,1.76,0.94
HINDUNILVR,short,2026-03-11 10:00:00,2168.91,2194.4,2132.3,2162.78,EOD,False,62,0.18,0.16,0.95,1.82,0.91
HINDUNILVR,long,2026-03-13 09:45:00,2170.48,2120.5,2264.8,2160.52,EOD,False,65,-0.56,-0.24,2.22,1.79,0.52
HINDUNILVR,short,2026-03-17 10:55:00,2155.92,2184.8,2108.3,2159.58,EOD,False,51,-0.27,-0.2,1.17,5.5,0.77
HINDUNILVR,short,2026-03-18 11:05:00,2155.52,2173.9,2125.9,2137.27,EOD,True,49,0.75,0.88,0.74,14.66,0.86
HINDUNILVR,short,2026-03-20 10:15:00,2075.96,2098.5,2043.0,2099.55,SL,False,16,-1.24,-1.14,0.89,1.7,0.73
HINDUNILVR,long,2026-03-25 09:45:00,2120.66,2087.9,2173.1,2132.93,EOD,True,65,0.48,0.31,1.34,3.8,0.98
HINDUNILVR,short,2026-04-01 10:25:00,2075.46,2106.1,2021.8,2065.03,EOD,False,57,0.4,0.27,1.35,9.25,0.95
HINDUNILVR,long,2026-04-10 10:45:00,2165.68,2121.9,2224.2,2149.72,EOD,False,53,-0.84,-0.41,1.58,1.79,0.65
HINDUNILVR,long,2026-04-17 09:45:00,2170.58,2133.2,2207.3,2206.2,T2,True,6,1.54,0.89,1.14,2.87,0.94
HINDUNILVR,long,2026-04-21 09:45:00,2257.13,2229.3,2298.9,2306.45,EOD,True,65,2.09,1.69,1.03,2.2,0.62
HINDUNILVR,long,2026-04-22 09:55:00,2349.77,2311.7,2421.8,2371.91,EOD,True,63,0.84,0.52,1.57,3.39,0.88
HINDUNILVR,long,2026-04-23 09:45:00,2376.69,2340.8,2437.1,2367.52,EOD,False,65,-0.49,-0.32,1.36,1.59,0.93
HINDUNILVR,short,2026-04-24 09:45:00,2349.72,2382.5,2297.6,2331.16,EOD,True,65,0.69,0.49,1.2,1.75,0.66
HINDUNILVR,short,2026-04-28 10:05:00,2295.35,2334.2,2247.2,2292.75,EOD,False,61,0.01,0.01,1.25,2.32,0.93
HINDUNILVR,long,2026-04-29 11:15:00,2315.16,2291.5,2356.6,2312.64,EOD,True,47,-0.21,-0.2,0.94,3.35,0.9
HINDUNILVR,short,2026-04-30 10:40:00,2265.17,2313.0,2219.1,2220.21,T2,True,7,1.88,0.89,1.36,47.34,0.77
HINDUNILVR,long,2026-05-04 09:45:00,2351.17,2293.3,2444.5,2310.44,EOD,False,65,-1.83,-0.74,2.16,1.56,0.72
HINDUNILVR,short,2026-05-06 10:00:00,2290.65,2339.3,2198.3,2318.96,EOD,False,62,-1.34,-0.63,2.04,3.91,0.81
HINDUNILVR,long,2026-05-08 11:20:00,2286.94,2260.0,2318.5,2286.16,EOD,False,46,-0.13,-0.11,0.86,1.97,0.85
HINDUNILVR,short,2026-05-13 10:50:00,2250.07,2278.6,2213.8,2279.74,SL,False,9,-1.42,-1.12,0.96,1.9,0.76
HINDUNILVR,short,2026-05-14 09:50:00,2257.37,2283.0,2217.9,2247.72,EOD,False,64,0.33,0.29,0.96,1.55,0.79
HINDUNILVR,long,2026-05-15 09:55:00,2281.14,2246.4,2329.2,2271.86,EOD,False,63,-0.51,-0.33,1.22,2.14,0.93
HINDUNILVR,long,2026-05-19 10:25:00,2279.54,2250.7,2318.2,2249.57,SL,False,25,-1.41,-1.12,0.99,2.52,0.97
HINDUNILVR,short,2026-05-21 10:15:00,2203.7,2224.9,2168.5,2179.09,EOD,True,59,1.02,1.06,0.85,1.67,0.66
HINDUNILVR,long,2026-05-22 10:55:00,2190.79,2175.8,2211.8,2210.69,T2,True,9,0.81,1.18,0.55,1.51,0.57
HINDUNILVR,long,2026-05-26 10:00:00,2208.9,2194.0,2228.8,2208.5,EOD,True,62,-0.12,-0.18,0.53,2.82,0.92
HINDUNILVR,short,2026-05-27 11:10:00,2196.7,2213.8,2180.8,2197.3,EOD,True,48,-0.13,-0.16,0.5,2.79,0.91
ITC,short,2026-03-10 09:55:00,304.45,308.85,296.55,309.0,SL,False,39,-1.6,-1.1,1.34,1.57,0.81
ITC,short,2026-03-17 11:25:00,305.05,309.8,297.5,305.1,EOD,False,45,-0.12,-0.08,1.34,1.74,0.83
ITC,short,2026-03-24 10:40:00,288.81,295.95,276.3,291.4,EOD,False,54,-1.0,-0.4,2.26,2.21,0.75
ITC,short,2026-03-27 10:35:00,292.0,294.75,290.25,294.9,SL,True,18,-1.09,-1.16,0.51,1.82,0.79
ITC,short,2026-04-01 10:25:00,291.35,294.25,287.5,291.5,EOD,False,57,-0.15,-0.15,0.77,1.78,0.83
ITC,long,2026-04-10 09:50:00,305.05,302.9,306.35,304.15,EOD,True,64,-0.4,-0.56,0.38,3.22,1.0
ITC,long,2026-04-15 10:00:00,303.15,300.6,307.2,301.9,EOD,False,62,-0.51,-0.61,0.73,2.02,0.64
ITC,short,2026-04-16 09:55:00,301.85,303.45,299.25,303.6,SL,False,15,-0.68,-1.28,0.46,1.52,0.67
ITC,long,2026-04-28 09:55:00,305.0,302.6,308.3,304.5,EOD,False,63,-0.27,-0.34,0.62,1.84,0.79
ITC,long,2026-04-30 10:35:00,316.96,313.5,322.8,314.39,EOD,False,55,-0.91,-0.83,0.98,1.71,0.58
ITC,long,2026-05-13 10:50:00,304.65,301.1,307.7,304.05,EOD,True,52,-0.3,-0.26,0.73,2.06,0.64
ITC,long,2026-05-14 11:20:00,308.6,304.9,313.0,307.3,EOD,False,46,-0.52,-0.44,0.88,3.06,0.94
ITC,long,2026-05-18 10:00:00,311.86,306.6,314.85,310.24,EOD,True,62,-0.62,-0.37,0.89,3.86,0.93
ITC,long,2026-05-19 11:50:00,313.96,310.0,321.1,310.34,EOD,False,40,-1.25,-0.99,1.19,2.16,0.91
ITC,short,2026-05-21 11:10:00,308.1,310.1,305.15,306.95,EOD,True,48,0.27,0.42,0.53,5.56,1.0
ITC,short,2026-05-22 10:20:00,302.8,307.0,296.2,301.45,EOD,False,58,0.35,0.25,1.18,1.74,0.73
ITC,short,2026-05-25 11:25:00,303.5,305.45,300.8,303.95,EOD,False,45,-0.25,-0.39,0.51,2.29,0.8
LT,short,2026-03-02 09:50:00,4071.96,4141.3,3953.5,4074.44,EOD,True,64,-0.16,-0.09,1.52,1.79,0.96
