symbol,direction,entry_date,entry_price,sl,target,exit_price,outcome,hold_bars,pnl_pct,R,grade,score,patterns,rsi,rs_vs_nifty,near_52wh,near_52wl
BHARTIARTL,long,2024-04-22,1304.65,1253.09,1459.33,1283.66,TIME_EXIT,15,-1.71,-0.41,A,80.0,"bullish_pin_bar,breakout_5d_high",66.0,1.048,False,False
BHARTIARTL,long,2024-05-17,1354.28,1300.48,1515.68,1299.83,SL,11,-4.12,-1.01,A,80.0,breakout_5d_high,52.0,1.093,False,False
BHARTIARTL,long,2024-06-03,1416.01,1361.1,1580.74,1360.42,SL,1,-4.03,-1.01,B,75.0,bullish_pin_bar,74.0,1.058,False,False
BHARTIARTL,long,2024-06-06,1359.68,1305.91,1520.99,1520.23,TARGET,15,11.71,2.99,B,75.0,bullish_pin_bar,57.0,1.031,False,False
BHARTIARTL,long,2024-06-07,1371.29,1316.47,1535.75,1534.98,TARGET,14,11.84,2.99,B,75.0,bullish_pin_bar,55.0,1.039,False,False
BHARTIARTL,long,2024-06-10,1421.76,1364.75,1592.79,1418.24,TIME_EXIT,15,-0.35,-0.06,A,85.0,"bullish_marubozu,breakout_5d_high",63.0,1.054,False,False
BHARTIARTL,long,2025-02-01,1627.81,1568.61,1805.41,1638.43,TIME_EXIT,15,0.55,0.18,A,85.0,bullish_pin_bar,57.0,1.039,True,False
BHARTIARTL,long,2025-02-05,1670.83,1604.37,1870.21,1603.57,SL,13,-4.13,-1.01,S,90.0,"bullish_pin_bar,breakout_5d_high",57.0,1.037,True,False
BHARTIARTL,long,2025-04-16,1803.3,1731.35,2019.15,1847.48,TIME_EXIT,15,2.35,0.61,S,90.0,breakout_5d_high,63.0,1.055,True,False
BHARTIARTL,long,2025-04-21,1899.35,1823.79,2126.03,1822.88,SL,4,-4.13,-1.01,S,90.0,breakout_5d_high,73.0,1.088,True,False
BHARTIARTL,long,2025-05-07,1901.95,1825.91,2130.07,1825.0,SL,4,-4.15,-1.01,S,90.0,breakout_5d_high,69.0,1.037,True,False
KOTAKBANK,long,2025-01-21,384.38,369.02,430.46,391.83,TIME_EXIT,15,1.84,0.49,S,95.0,breakout_5d_high,64.0,1.113,True,False
KOTAKBANK,long,2025-02-14,395.0,379.22,442.34,379.03,SL,9,-4.14,-1.01,S,95.0,breakout_5d_high,66.0,1.13,True,False
KOTAKBANK,long,2025-03-13,395.34,379.48,442.92,407.37,TIME_EXIT,15,2.94,0.76,S,90.0,breakout_5d_high,50.0,1.061,True,False
KOTAKBANK,long,2025-03-20,406.4,390.23,454.91,423.83,TIME_EXIT,15,4.19,1.08,S,90.0,breakout_5d_high,61.0,1.042,True,False
